#REF!;non_value;NO;JVV0148;8;0589-029-0R01 M3;193;*;*;1'49;non_value;non_value
#REF!;OF21;SI;PLA0001;3'2;SE-370-GI;2000;*;*;9'38;non_value;RESPETAR FECHA ENTREGA
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;5;non_value;non_value;non_value;non_value;non_value;non_value;non_value;0;40;40
#REF!;non_value;NO;JVV0078;5;0949-020-0R01 M6;44;*;*;1'88;non_value;MATERIAL 28/01
#REF!;OF22;SI;PLA0001;4;SE-370-GI;2000;*;*;9'38;non_value;RESPETAR FECHA ENTREGA
#REF!;OF23;SI;PLA0001;5'1;SE-370-GI;2000;*;*;9'38;non_value;RESPETAR FECHA ENTREGA
#REF!;non_value;SI;PRE0051;2;NP-6670D CTS-240;105;*;*;4'75;non_value;non_value
#REF!;non_value;NO;JVV0151;1;0949-036-0R01 M2;42;L;*;1'45;non_value;non_value
#REF!;non_value;NO;JVV0151;2;0949-036-0R01 M1;70;*;*;*;non_value;non_value
#REF!;non_value;SI;PRE0019;17;NP-6669D CTS-240;100;*;*;4'71;non_value;non_value
#REF!;non_value;NO;JVV0045;7;0877-030-0R01 (20leds);50;*;*;1'19;non_value;non_value
#REF!;non_value;NO;CPS0003;1;PCB_DRIVER_980013-V0-2;60;L;*;3'22;non_value;MATERIAL ERRONEO (20268) RECIBIMOS DE FARNELL 05/02
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
non_value;6;non_value;non_value;non_value;non_value;non_value;non_value;non_value;0;40;40
#REF!;non_value;NO;BOQ0005;2;PCB005;1000;*;L;7'83;non_value;URGENTE
#REF!;non_value;NO;JVV0027;15;0949-002-0R01 M5;60;*;*;1'56;non_value;non_value
#REF!;non_value;NO;JVV0103;5;0877-036-0R02 M1;50;*;*;1'73;non_value;non_value
#REF!;non_value;NO;JVV0107;2;0589-020-0R03;192;*;*;1'69;non_value;non_value
#REF!;non_value;SI;CIP0001;35;2748.0020 MYR PEQUEÑA;150;*;*;5'42;non_value;non_value
#REF!;OF24;SI;PLA0001;5'2;SE-370-GI  ;1000;*;*;5'82;non_value;RESPETAR FECHA ENTREGA
#REF!;non_value;NO;CSE0014_01;KIC1;ECGEXPERT02_02_C;1;*;L;3'12;non_value;non_value
#REF!;non_value;SI;CSE0014_01;1;ECGEXPERT02_02_C;50;*;*;*;non_value;non_value
non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value;non_value
11/02/2016;*;*;*;*;THE LED DAY;*;*;*;*;*;SEMINARIO CIRCUITOS ALUMINIO ORGANIZADO POR FABRICANTE PLANCHA PCB. DEJAR MONTAJE FACIL YA QUE ALBERTO NO ESTARÁ ESTE DÍA.
non_value;7;non_value;non_value;non_value;non_value;non_value;non_value;non_value;0;40;40
#REF!;non_value;SI;PRE0034;5;6771A CRS-120;25;*;*;3'98;non_value;non_value
#REF!;non_value;SI;PRE0001;11;0580-ESPECIAL ;60;*;*;5'14;non_value;FALTA UN MATERIAL SMD QUE EN PRINCIPIO 15/02 TRAEN. PUEDEN ESPERAR A UN PARCIAL DE 35u PARA 19/02
#REF!;OF25;SI;PLA0001;5'3;SE-370-GI  ;2000;*;*;4'85;non_value;RESPETAR FECHA ENTREGA
#REF!;non_value;NO;CSE0013_03;KIC1;ECGEXPERT02_01_B;1;L;*;8'02;non_value;non_value
#REF!;non_value;SI;CSE0013_03;1;ECGEXPERT02_01_B;50;*;*;*;non_value;non_value
