10/11/2016;10/11/2016;579;PRE0051;3;6670D CTS-240 E0;25;P;non_value;P;non_value;*;*;P;0'5;SI;P;non_value;P;19/10/2016;P;3'05;SI;non_value
05/10/2016;07/11/2016;197;PRE0052_01;3;0748 ESPECIAL CTS-240 PLANO C VER. 4;205;L;*;L;07/10/2016;*;*;L;3'66;SI;L;*;RP;13/10/2016;P;21'24;SI;20/10/16 SRD> Se entregan 100 unid.
30/09/2016;07/11/2016;506;PRE0056_01;4;0720.3_E2 ESPECIAL;500;L;*;L;20/09/2016;*;*;L;11'36;SI;L;*;L;07/10/2016;L;115'97;SI;INCLUYE PRE0057 LOTE 5   20/10/16 SRD>  Se entregan 300 unid.
30/09/2016;07/11/2016;505;PRE0057;5;9286.3_2 ESPECIAL;500;L;*;L;20/09/2016;*;*;L;15'3;SI;L;*;L;16/09/2016;L;36'53;SI;INCLUIDA EN PRE0056 LOTE 4
30/09/2016;07/11/2016;504;PRE0063;6;NP-9280 SENSOR TEMP.;500;*;*;*;*;*;*;*;*;*;L;*;L;07/09/2016;P;*;*;PIMEM // INCLUIDA EN PRE0056_01 LOTE 4
02/11/2016;02/11/2016;525;SOR0007;17;316014 CONTROL GENERAL SKINLIGHT;25;L;*;*;*;*;*;L;1'04;SI;L;*;*;*;L;9'78;SI;non_value
02/11/2016;non_value;549;SOR0030;21;316098 MECANIZADO PANTALLA HITACHI DREI;25;*;*;*;*;*;*;*;*;*;L;*;P;non_value;*;8'54;NO;OPL004601
07/11/2016;non_value;577;SOR0048;17;11155 CABEZAL BIPOLAR 30mm;20;*;*;*;*;*;*;*;*;*;P;non_value;P;non_value;P;4.33;P;OPL004687
07/11/2016;04/11/2016;575;SOR0049;17;315810 PLACA CABEZAL BIPOLAR 30mm;35;P;31/10/2016;*;*;*;*;P;0'52;SI;P;28/10/2016;*;*;P;0'89;SI;INCLUIDA EN SOR0048
07/11/2016;04/11/2016;576;SOR0050;16;315864 PLACA CABEZAL BIPOLAR 30mm;35;P;31/10/2016;*;*;*;*;P;0'56;SI;*;*;*;*;*;*;*;INCLUIDA EN SOR0048
